id,price,total_area,living_area,rooms,floor,total_floors,year,distance,balcony,condition,type,district,url
1,8267800.0,61.7,0.0,3,4,10,1970,985.0,лоджия,Неизвестно,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_617_m_410_et._4838303720?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKVU1LNmRqaDhoYzhmVUhLIjt9i51JvD8AAAA
2,5200000.0,41.8,14.0,1,8,24,1970,1085.0,лоджия,Неизвестно,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_418_m_824_et._4676744554?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJXN2s1NllqbmdlMEp0U3A5Ijt9hHgwMj8AAAA
3,9088000.0,56.8,37.4,3,3,16,1970,629.0,балкон,Неизвестно,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_568_m_316_et._4423517414?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVWGNjVHd3Q3ZBTkh3bXRRIjt9PJsa5D8AAAA
4,1530000.0,17.0,9.0,0,3,5,2025,458.0,Нет,требует ремонта,Квартира-студия,Октябрьский,https://www.avito.ru/barnaul/kvartiry/kvartira-studiya_17_m_35_et._4436855614?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIOFhRM1Q3M2xzMHdscW85Ijt9lsQ5kD8AAAA
5,18123200.0,75.2,16.1,3,24,27,1970,1096.0,Нет,Неизвестно,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_752_m_2427_et._4423925427?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVcHRZUkM2NkptajhKemlrIjt9k_PKBD8AAAA
6,6690000.0,47.6,28.3,2,4,10,2021,1139.0,балкон,евро,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/2-k._kvartira_476_m_410_et._4392127298?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1Qk5YeTM2Qm9DN2Q2MDZqIjt9kW7shz8AAAA
7,4150000.0,33.2,15.5,1,3,17,1970,1116.0,лоджия,Неизвестно,квартира,Ленинский,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_332_m_317_et._4424295371?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5N2FyOUdhRDZ6endHZ3hzIjt96x1cOD8AAAA
8,4792500.0,35.5,11.9,1,2,17,1970,603.0,лоджия,Неизвестно,квартира,Ленинский,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_355_m_217_et._4391978695?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1ZTVldjR6aWd1c1o0WU1BIjt94WVzrT8AAAA
9,4902800.0,41.2,15.1,1,6,23,1970,448.0,лоджия,Неизвестно,квартира,Ленинский,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_412_m_623_et._4424267840?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJreEMzZ2ZCbVF6QlJ6SFMzIjt9x8av0z8AAAA
10,10384350.0,64.7,41.1,3,4,16,1970,222.0,лоджия,Неизвестно,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_647_m_416_et._4424433208?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwTEZqREQyaUhaQU11SThzIjt9SWeB_D8AAAA
11,4600000.0,35.0,0.0,1,7,10,2009,537.0,балкон,косметический,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_35_m_710_et._3970986845?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJPV0NrZENHTUt5M2JEdU9IIjt9oNZ5zT8AAAA
12,4500000.0,34.5,0.0,1,3,9,1991,314.0,балкон,евро,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_345_m_39_et._4585052780?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ5Q3JucGt6UHVnUWQzZVJqIjt9vPJ3KT8AAAA
